name,smiles,inhibition
P162-0948,O=C(CC=1OC(=NN=1)C=3C=C2C=CC=NC2=CC=3)NCC=4C=CC([F])=CC=4,100
J015-0271,O=C(N/C2=C/C=C(/CC=1C=CN=CC=1)C=C2)C3=NC(=C/C=C3/[Br])N4C=NN=C4,52
Y041-6779,O=C1NN=C(/C=C1/C/C2=C/C=C(C=C2)OC)C3=CC=CC=C3,52
Y043-7267,COc1ccc(cc1)c2n[nH]cc2c3cc(OCc4ccccc4)ccc3O,52
L534-0343,O=C(NCC/C1=C/C=CC=C1)C=2C=C(C=CC=2)C=3C=C(N=CN=3)O/C4=C/C(OC)=CC=C4,45
G194-0430,O=C1N(C=C/N=C1/NCC/C2=C/C(OC)=C(C=C2)OC)C3=CC([Cl])=C(C=C3)OC,43
Y043-2213,O=C(N/C1=N/C(=C[S]1)C=2C=CN=CC=2)CCN3C=CC4=C3C=C/C=C4/C,40
S425-0704,O=C(/C1=C/N/N=C1/C2=C/C=C(/[F])C=C2)N3CCC([H])(CC3)OCCO/C4=C/C=CC=C4,37
P496-2670,O=C(C/C1=N/C(=NN1)C/C2=C/C=C/C=C2/[F])NC=3/C=C(/[Cl])C(=CC=3)OC,30
Y041-7676,O=C(C/C1=C(/N/N=C1/C)C2=CC=C(C=C2)OC)NCC/C4=N/C=3C=CC=CC=3N4,29